scenario_id,wall,roof,floor,glazing,airtightness,ventilation,shading,hp_type,hp_capacity_kw,flow_temperature_c,emitter,heat_loss_w_k,annual_heating_demand_kwh,peak_heat_load_kw,seasonal_cop,heat_pump_electricity_kwh,backup_heat_kwh,operational_emissions_kgco2,baseline_oil_emissions_kgco2,emissions_reduction_pct,retrofit_cost_eur,overheating_hours,sequential_penalty_proxy
S23545,moderate,moderate,improved,baseline,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,141.01,12225.1,3.24,4.77,2562.3,0.0,758.4,3831.5,80.2,50500.0,128.5,1.2
S23593,moderate,moderate,improved,baseline,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,141.01,12225.1,3.24,4.77,2562.3,0.0,758.4,3831.5,80.2,52700.0,93.5,1.2
S24769,moderate,moderate,improved,double_low_e,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,126.12,10934.4,2.9,4.24,2577.5,0.0,762.9,3427.0,77.7,46000.0,154.0,1.2
S24817,moderate,moderate,improved,double_low_e,deep,natural,external,air_to_water,6.0,35.0,low_temp_emitters,126.12,10934.4,2.9,4.24,2577.5,0.0,762.9,3427.0,77.7,48200.0,119.0,1.2
S27841,moderate,deep,baseline,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,127.01,11011.4,2.92,4.24,2595.6,0.0,768.3,3451.1,77.7,49500.0,107.2,1.2
S27889,moderate,deep,baseline,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,127.01,11011.4,2.92,4.24,2595.6,0.0,768.3,3451.1,77.7,51700.0,72.2,0.6
S25345,moderate,moderate,improved,triple,improved,natural,none,air_to_water,6.0,35.0,low_temp_emitters,127.7,11071.0,2.94,4.24,2609.7,0.0,772.5,3469.8,77.7,47500.0,131.2,1.2
S25393,moderate,moderate,improved,triple,improved,natural,external,air_to_water,6.0,35.0,low_temp_emitters,127.7,11071.0,2.94,4.24,2609.7,0.0,772.5,3469.8,77.7,49700.0,96.2,1.2
S17497,moderate,baseline,baseline,triple,baseline,mvhr,none,ground_source,6.0,35.0,low_temp_emitters,145.71,12632.6,3.35,4.77,2647.7,0.0,783.7,3959.2,80.2,53500.0,71.2,0.6
S17545,moderate,baseline,baseline,triple,baseline,mvhr,external,ground_source,6.0,35.0,low_temp_emitters,145.71,12632.6,3.35,4.77,2647.7,0.0,783.7,3959.2,80.2,55700.0,36.2,0.6
S22657,moderate,moderate,baseline,triple,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,129.76,11249.8,2.98,4.24,2651.8,0.0,784.9,3525.8,77.7,47500.0,89.2,1.2
S22705,moderate,moderate,baseline,triple,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,129.76,11249.8,2.98,4.24,2651.8,0.0,784.9,3525.8,77.7,49700.0,54.2,0.6
S20449,moderate,baseline,improved,triple,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,131.28,11380.9,3.02,4.24,2682.7,0.0,794.1,3566.9,77.7,47000.0,127.5,1.2
S39457,deep,moderate,improved,baseline,deep,natural,none,air_to_water,6.0,35.0,low_temp_emitters,131.53,11402.6,3.03,4.24,2687.8,0.0,795.6,3573.7,77.7,45500.0,184.8,1.2
S19201,moderate,baseline,improved,double_low_e,baseline,mvhr,none,air_to_water,6.0,35.0,low_temp_emitters,131.76,11423.2,3.03,4.24,2692.7,0.0,797.0,3580.2,77.7,47000.0,97.8,1.2
S19249,moderate,baseline,improved,double_low_e,baseline,mvhr,external,air_to_water,6.0,35.0,low_temp_emitters,131.76,11423.2,3.03,4.24,2692.7,0.0,797.0,3580.2,77.7,49200.0,62.8,0.6
S29113,moderate,deep,improved,baseline,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,148.57,12880.7,3.42,4.77,2699.7,0.0,799.1,4037.0,80.2,49000.0,184.8,1.2
S22201,moderate,moderate,baseline,double_low_e,deep,natural,none,ground_source,6.0,35.0,low_temp_emitters,150.88,13080.1,3.47,4.77,2741.5,0.0,811.5,4099.5,80.2,49000.0,136.0,1.2
S22249,moderate,moderate,baseline,double_low_e,deep,natural,external,ground_source,6.0,35.0,low_temp_emitters,150.88,13080.1,3.47,4.77,2741.5,0.0,811.5,4099.5,80.2,51200.0,101.0,1.2
